client,cohort,bloom,prr,irr
c5,2,00000000010000000000000000000000,00110000111011000001010001100001,10110010110010100001011001101000
c5,2,00000000000000000000100000000000,10000000001001000000110000000000,10000011001001000010100000100000
c5,2,00000000000000000000000000001000,11010010011001010000100010001000,01010010010000010000001010011001
c5,2,00000000000000000000000000010000,01000100001101000011011000000010,00010000111101100111011100011100
c5,2,10000000000000000000000000000000,10000000100010000000100100001010,10101000110010010011100110011010
c5,2,00000000000000000000000000100000,00000010001100000000001000110000,00001010011100001011001010110000
c5,2,00000000000000001000000000000000,00000010110000001000000000000001,01100001110010100000000000010001
c5,2,00000000000000000000100000000000,10000000001001000000110000000000,00011000011001000000111100101000
c5,2,00000000000000000000000000010000,01000100001101000011011000000010,01011100001100000011111101001001
c5,2,00000000000001000000000000000000,00000010000011100000011001001000,00000010111111100000001011000101
c6,6,00000000000000000000000010000000,00001011001010000000000010010100,00111111001010100000000010010100
c6,6,00000000000000000000000000000100,00000000000000001000000000000101,11100101100100001010000000110001
c6,6,00000000000000000000000000001000,11110000000001011010000001001100,00110001011001011010010100001000
c6,6,00000000000100000000000000000000,01110000100100100001000101010000,01000100000111100001001101010000
c6,6,00000000000000100000000000000000,00011000001010100000010011000000,00010010001010110000000011100001
c6,6,00000000000001000000000000000000,00000000011001000000000000000000,00101000010111000000000010010000
c6,6,10000000000000000000000000000000,10100000010000000100000101000011,01100100111000111100000111000010
c6,6,00000000001000000000000000000000,01101001111000000010101000000000,01101111111001001010111010000000
c6,6,00000000000000000000001000000000,10000000010100000100010000000011,10010001000100001100001000010010
c6,6,00000000000001000000000000000000,00000000011001000000000000000000,00000100111001001010010010001100
c7,25,00000000000000001000000000000000,00000000010101001110100001001100,00000001010111101110100001110111
c7,25,00000000010000000000000000000000,11010011110100000001000100000011,11010001010000000010001101100011
c7,25,01000000000000000000000000000000,11001000011001010100011011000010,11001010011100010100000101011010
c7,25,00000010000000000000000000000000,10001001000100010001001000100000,10000110010100000000001000110000
c7,25,00000000010000000000000000000000,11010011110100000001000100000011,11111011111100010011001000000011
c7,25,00000000000000000000000000001000,01000000100000100110001100001000,11000110001010100100011100000001
c7,25,01000000000000000000000000000000,11001000011001010100011011000010,11110000110001100000010011000010
c7,25,00000000000000000000000000100000,00001000000101001000010100100010,10001100000101001100100100101000
c7,25,00000000000000000000000000000100,00001001100000100110100001000100,10111001101100100010100011000101
c7,25,00000000000000000000000000100000,00001000000101001000010100100010,00001000001101101000010110000011
c8,15,10000000000000000000000000000000,10010100000010010000001001000010,00010101001010001101001001000110
c8,15,00000000000000000100000000000000,00010001010100010110100001000001,00010000010010010110000001110001
c8,15,00000000000000000000000000000100,10101010000000000000000110000101,11001010011100010100100110000100
c8,15,00000000000000000000000000000010,10010100100101111010011110100010,10110101000111011111111010100011
c8,15,00000000000000000000000000000010,10010100100101111010011110100010,11010100101001011010010110110010
c8,15,00000000000000000000000000000100,10101010000000000000000110000101,00111010000111010010011111001101
c8,15,00000000000000000000001000000000,11110000000001000001001000001000,11110000000101000001001000011000
c8,15,00000001000000000000000000000000,00000110100001101000000000100000,00000000100001001000010100101010
c8,15,10000000000000000000000000000000,10010100000010010000001001000010,00011100000011101001101101000110
c8,15,00000001000000000000000000000000,00000110100001101000000000100000,10000000000000001000011001110010
c9,41,00000000000000000000001000000000,00100001111000100000001100000000,01100000111010001111001100000000
c9,41,00000000000000000000000000100000,11000000011110100100000101000010,01001000011110000101001011010010
c9,41,00000000100000000000000000000000,01001000111000000001000010011000,01001110110000110001000010111011
c9,41,00000000000000000000000000000010,00100100101000011010100000000110,01100100011001010010000000110110
c9,41,00000000000000000010000000000000,00000111011001000010000000001100,00001111001011100010011110001110
c9,41,00000000000000000000000001000000,10001010001010000001000011000010,10011011000000001011000011100010
c9,41,00000000000000000000000000000010,00100100101000011010100000000110,01100100111100111010100001000111
c9,41,00000000000000000000000000000010,00100100101000011010100000000110,00101100101100011011100100110111
c9,41,00000000010000000000000000000000,01100000110001010010100000000100,01100100100001100000110000101000
c9,41,00100000000000000000000000000000,00100011010100000000000011000001,01111011010010010010010001100001
c10,29,00000100000000000000000000000000,01110100000000010100000000000100,00100110010010010000011101001100
c10,29,00000000000000000000010000000000,01000000000010000100010111010001,00000000000100000011110110000001
c10,29,00000000000000000000000000001000,10000010000010010000000001111000,10000001001110010001101101111101
c10,29,00000000000000000000000000000100,10010010000000000000000010011100,11010000000100000100100011111000
c10,29,00000000000000000100000000000000,00101000000010001100010001010001,01101001100110001100100001010001
c10,29,00000000000100000000000000000000,00110000000101011010100011010000,00110101001111011010000110010000
c10,29,00000000100000000000000000000000,10000001101000001001000001010100,11000001111000001011000000010110
c10,29,00000000000000000000000000100000,00001000100011010100010100100100,00001010110011001110010101011110
c10,29,00000000000000000000000100000000,00010010100010010100000100100001,01010011110010011000000111100000
c10,29,00000000000000000000000000010000,00000000000000011100100001100001,00011100001110110010110100011001
c11,53,00000000000000000000100000000000,11001000000000010110100011000000,11011000000000010011000011001000
c11,53,10000000000000000000000000000000,11000010000010010000110000001001,11000100000011000010010000011011
c11,53,00000000000000000100000000000000,00010001000100100010100001101000,00100101100100110100100101101000
c11,53,00001000000000000000000000000000,00001000100000001010000000100001,11011000000011001110110001111101
c11,53,00000000000000010000000000000000,00000001111100010001000000000000,10010101110101011001011110100000
c11,53,00000000000000000000000000000010,00101100000000100001000000100010,00001100000100110001000111100001
c11,53,00000000000000000000001000000000,01001000001010001010001010110000,01001010001010000011000001110000
c11,53,00000000000000000000000001000000,01100100111101101100100011110001,01100111111101101100100011110011
c11,53,00000000001000000000000000000000,00010100101000111100000000010000,00011110101000101100100000110001
c11,53,00100000000000000000000000000000,11010000101110010001001000000000,01000100111010110001101010001010
c12,8,00010000000000000000000000000000,01010000000000001100010010000000,01001001011000001110010000010000
c12,8,00100000000000000000000000000000,00111000000100000010101011000010,10100100000100000110111011100110
c12,8,01000000000000000000000000000000,01000010000010000000010001011010,01111010100011011010101011101001
c12,8,00000000000000000010000000000000,01000011001000001011000000000001,11000001001100010011100000000111
c12,8,00000000000000000010000000000000,01000011001000001011000000000001,01011001001000111011000110000011
c12,8,00000010000000000000000000000000,10101110010001011010110011011111,10101010111011110110010011011011
c12,8,00000000010000000000000000000000,11010111010000000001000001001001,01010111011000000100110111101001
c12,8,00000000000000000000000000000100,01011111000000100001000000001101,00011110100000100001000010101110
c12,8,00000000010000000000000000000000,11010111010000000001000001001001,10010010010000000000010011011110
c12,8,00000000000000010000000000000000,00010001001001011100000010000000,00010001000001001101010011001010
c13,51,00000000000000000100000000000000,00000000100000000101000101000001,01100010101000000101100101100101
c13,51,00000000000000000000000000010000,01100001010000000001001010110001,11101111010000010011001111110001
c13,51,00000000000100000000000000000000,00010001001100000000101000110000,01010000001110100100101000111010
c13,51,01000000000000000000000000000000,01000000010010000000000000000000,11000000111010000011100000110000
c13,51,00000000000001000000000000000000,11010000000000000000000100001000,11010001001100010011000110101001
c13,51,00000000000000000000000100000000,00000000000100101010000010000001,11010000000000101110000010011001
c13,51,00000000000000000000000000010000,01100001010000000001001010110001,01101011010010101011111001110101
c13,51,00000000000000001000000000000000,00000100000000101101001000001111,01010100000001001101011000100011
c13,51,00100000000000000000000000000000,00100000010010001000000011111010,00010000110010001100000010111110
c13,51,00000000010000000000000000000000,00000000011010001000000000000000,00000011011000011001110010000000
c14,5,00000000000000000000001000000000,01000110100010010010001100000100,01000010000010011000000110000100
c14,5,00000000000000000000000001000000,00100100010001000000010100000001,00111100100101000000111101000001
c14,5,00000000010000000000000000000000,01100000110101100000000000000100,01010101110101000111000111101000
c14,5,00000000000000000000000001000000,00100100010001000000010100000001,00101000010101000100000101000001
c14,5,10000000000000000000000000000000,11000000010010010100001010011010,10110010000011011100001011111010
c14,5,00000000000010000000000000000000,10000000000000110000010000000110,11001010111001001100011101000101
c14,5,00000000000000000000000001000000,00100100010001000000010100000001,10100100010101000000011000100001
c14,5,00000000000000000000100000000000,10000000010010000000100000100101,10110000010010000000100010100000
c14,5,00000000000000000100000000000000,00010000010000100110000110010000,11010000000010100111000101101000
c14,5,00000000000000000000000001000000,00100100010001000000010100000001,10000101010001010000001100000000
c15,10,00000000000000000001000000000000,01000100000111000011100000101000,00100000000110100001000010111010
c15,10,00100000000000000000000000000000,10100000101101000010000000000000,10100100101111100110001000000100
c15,10,00000000001000000000000000000000,10001010011000100000010010010100,10101011011001100001110011010111
c15,10,00000000000000000000010000000000,00000011000001010010010000010001,00000001000000010100001100010100
c15,10,00000000000000000000000000100000,00000010000000100100010010100010,00000010000100100110000000111011
c15,10,00000100000000000000000000000000,11000000100000000001000010110000,11100000110010000001000010110101
c15,10,00000000100000000000000000000000,00100010001010000000000000000000,10100010000010000010000000010010
c15,10,00000000000000000000000100000000,00000010110000111100000100000010,01000010110000011100001100011010
c15,10,00000000000100000000000000000000,00010010100110010000000110101000,10000110100110010000000111000001
c15,10,00000000000000000000000000000001,00000100100001101000000000000110,00000100000011101001000000000010
c16,38,00000000000000000000000010000000,01000000100001011100000101000000,00000000001001011100000111010001
c16,38,00000000000000000000100000000000,00001010010000101001001000000101,10001011001101001000001000000001
c16,38,00000000000000000000100000000000,00001010010000101001001000000101,01001100000100101100000011000010
c16,38,00000000000000000000001000000000,00000110100001010000000100000100,00100000100011011000101100000001
c16,38,00000000000000000000000000000100,00000000000000011000001001011100,10000010010100111000001000110000
c16,38,00000000000000000000000010000000,01000000100001011100000101000000,01100100100000011101000101001000
c16,38,00000000000000000000000000010000,10000100001001100001000000011100,10001110001000000001000000011110
c16,38,00000000000000000001000000000000,01010001001110001111100101000100,11100001010110001101000101000110
c16,38,00000100000000000000000000000000,01100100000001000000000001000001,01111101000001000000001001010111
c16,38,00000000000000000000000000000100,00000000000000011000001001011100,00001000111010011000001001001010
c17,40,00000000000000000000000000000001,01101111010010000000100010100011,01001101010010000111010110101111
c17,40,00000000001000000000000000000000,10000000001010000100000000001000,10001010101011000100000101011001
c17,40,00000000010000000000000000000000,11110001110000010010000000010011,11111001011110010010000011010101
c17,40,00000000000001000000000000000000,10000000101001000001001101000000,11010101101100000101001111001000
c17,40,00000000000000000000000000000010,01000110100000000000000001000110,00101100101010101100100001000011
c17,40,00000000000000000000000000000010,01000110100000000000000001000110,00000110010101110010000101000010
c17,40,01000000000000000000000000000000,01000010101000110000001111001000,01010010101101110100001010001000
c17,40,00000000000000000000010000000000,00000100100000110000111000000001,10000100101001100100111001000001
c17,40,00000010000000000000000000000000,00100010000111000000000100000000,10000011010111111000010111010000
c17,40,00000000000000000000000000001000,11000000000010000010000000010001,10000110110111000000101000110001
c18,48,00000100000000000000000000000000,10000100010000101000010000100000,10110101111100111011100100000101
c18,48,00000100000000000000000000000000,10000100010000101000010000100000,10001101100010111001010100001010
c18,48,00010000000000000000000000000000,00110000010100110100010001010100,00111000101101110110010001100100
c18,48,00000000000000000000000000000100,00100100000000000000111010011000,00101000010000000110111001011000
c18,48,00000001000000000000000000000000,00000110001010000100000000000001,00001111100010100011100000000011
c18,48,00000001000000000000000000000000,00000110001010000100000000000001,10000110110110100110010001010001
c18,48,00100000000000000000000000000000,00001001010000000000000011001001,01100001010110001000100110101000
c18,48,00000000000000000001000000000000,01001100010101100000000110000001,11101001010110100111000110001011
c18,48,00000000000000000000001000000000,00000000000100100000001000000010,01001100000010100011001011000110
c18,48,00000000000000010000000000000000,01000100001000010110011100000000,11100101001001010110000101101100
c19,24,00000000000000000100000000000000,10010001000000010000100000011000,11001011100000010101100100011000
c19,24,00000000000000000000000000001000,00000000101000100010000000011110,00101001110100110010100010011011
c19,24,00000000000000000000000100000000,00000000000000100000000100000000,00011000101100100000000010000000
c19,24,00000000010000000000000000000000,00000100010000000100100000100001,11000100010000000000100000000001
c19,24,00000001000000000000000000000000,00010000110011000000000010001111,00000000110011100000000010000110
c19,24,00000000000000000000000000100000,01101001101010000110000001110000,01011101100010010011110001110001
c19,24,00000100000000000000000000000000,00010100100000100000011110001010,01011100110000000100010011101010
c19,24,00000000000000000000000100000000,00000000000000100000000100000000,00011000000001100001000100000001
c19,24,00000000000000000000000000000001,00000101001000101000001000010001,00000010000100101001010000010001
c19,24,00000000000000000000000100000000,00000000000000100000000100000000,10000001000000100001000101000101
c20,57,00000000000100000000000000000000,10010000100000000100100011000101,10010010000010000100110100000101
c20,57,00000000000000000000000010000000,10101000000101000001010000100000,10111110000101000001011010101001
c20,57,00000000010000000000000000000000,10100100000000000101000001000010,11000010000010000111010000110001
c20,57,00000000000000000000010000000000,10001001001101010000010100000010,10101101001010000000111100101000
c20,57,00000000000000000001000000000000,00000010100000000001000100000011,00010110000110010001100000011110
c20,57,00000000000000000000100000000000,00100000010000010010101100010010,00101000010100011110100100010110
c20,57,00100000000000000000000000000000,00101000100100001000000000110001,00110100110110001100101010010101
c20,57,00001000000000000000000000000000,00101010001000000010010000000000,11101111000000000011100000000010
c20,57,00000000000000000000000000000001,10001010001000000010000000000000,10001100011000000010001000000000
c20,57,00000100000000000000000000000000,00000100100000000100010000000001,00000001000100011000110000010001
c21,27,00000000000000000000001000000000,01010010110000000001001010100110,01010111011001010101001001101110
c21,27,00000000000000000000000000010000,00000011010100001000000010010001,00100011010000001101010010000001
c21,27,00000000000000000000000001000000,00000000000000100010101000000010,01001010110001000011111000000010
c21,27,00000000000000000000000000100000,00001000000110011110100100101000,00000011000100001010100100101010
c21,27,00000000000000000000000000010000,00000011010100001000000010010001,00000101100100001101000010011100
c21,27,00000000000010000000000000000000,00111000000110000000001001010000,00111000000100000001101001010100
c21,27,00000000000000000100000000000000,00010111110001001100001011000100,00010111100000000110001011000100
c21,27,00000000000000000000000000100000,00001000000110011110100100101000,01101000100100000110011000101100
c21,27,00000000000000000000000000000010,00110101000011101000000000010111,00110101010011101100010000111011
c21,27,00000000010000000000000000000000,01001000111100100000000110001000,01010000111010100000000110100000
c22,0,00000001000000000000000000000000,00010001010000001101000000000010,01010101110010000011000010000110
c22,0,00000000010000000000000000000000,00101000110000000011111010000011,11101101000000100111010010100011
c22,0,00000000000010000000000000000000,10000010100110000010000010010000,00110010100110000110000011110011
c22,0,00000000000000000000000000001000,01000010000000000100001001000000,11010001000100000100001101000000
c22,0,00000000000001000000000000000000,00000000000100001001100000100100,00100000000100001000111000100100
c22,0,00000000000000000010000000000000,01001000001010001001000001000000,00001001011011001001000000001000
c22,0,00000000000000100000000000000000,01000000100010100010010011011100,00000000100110101110010111011100
c22,0,00000000000010000000000000000000,10000010100110000010000010010000,11001100100100101010000000011010
c22,0,00000001000000000000000000000000,00010001010000001101000000000010,00010101010000001101000000000011
c22,0,00000000000000000000000010000000,00000010000000010000000010000010,10010010000111011100001010100111
c23,41,00000000000000000000000001000000,01001000010001000000100001001000,10000100110101010011110100111010
c23,41,10000000000000000000000000000000,00000000010000010001010000001011,00111101010010001000000000101101
c23,41,00000000000001000000000000000000,00100000000011000010001000000000,10100101000111110010011001000100
c23,41,00000000000000000000000000100000,10000111001000010010000010100001,10000110001100010010100000100001
c23,41,10000000000000000000000000000000,00000000010000010001010000001011,10000110010000010011000011011111
c23,41,00000000000000000000000000000010,00001000000011110000110001100011,01101000000011110000011000101111
c23,41,00000000000000000000000001000000,01001000010001000000100001001000,01001000010011000101100110001000
c23,41,00000000000000000010000000000000,01000011010001000010010111101110,11000011010101011011000110001010
c23,41,00000000000000000000010000000000,00001001001010000100011000100101,01001001001111100100011000100111
c23,41,00000000000000010000000000000000,01000001101000000000001000111100,10000101100110001110101000111100
c24,9,00000000000100000000000000000000,10000000000000001010010001000000,10000000111000001110010001001000
c24,9,00000000001000000000000000000000,00011000011100010101010000000100,01110000111011010101010001100000
c24,9,00000000000000000000000000010000,01001111001100000100001000000001,01000111110100000100000100101100
c24,9,00000000010000000000000000000000,01100010010000001001100000101010,00100010011010001001101111111110
c24,9,00000000000000001000000000000000,00110100111010001000001010000110,10110110110011000000011010000110
c24,9,00000000000000000100000000000000,00100100100100000111010000000000,00110100000000000110110100001000
c24,9,00000000000000000000000000010000,01001111001100000100001000000001,01001111011111010000001000110101
c24,9,00000000010000000000000000000000,01100010010000001001100000101010,11100010000000001001100100101010
c24,9,01000000000000000000000000000000,11100000000010100010100001001000,00000000100011110011100111001000
c24,9,00000000000000000000000000000100,00001000000000011010100100011101,10011100000000011110101100011010
c25,31,00000000000000000000001000000000,00100011000000000011001000000010,10100011100110111011001000110100
c25,31,00000000000000000000001000000000,00100011000000000011001000000010,00110111100000100111001010100010
c25,31,01000000000000000000000000000000,01001010000010011000000000000010,00001010100011010000001100101010
c25,31,00000000000000000000100000000000,00000100000010000010100010001001,00000001000011001110001010101101
c25,31,00000000001000000000000000000000,11010100001110000000000000011100,11010100001010010110010100001101
c25,31,00000000000000000010000000000000,01000011000000000110000101000010,01001111001000000101000111000101
c25,31,00000000000000000100000000000000,10110000100001110101000000001000,00110000000101101101010000101000
c25,31,00000000000000000000100000000000,00000100000010000010100010001001,00101010100010000110001110011011
c25,31,00000000000000000000000000000001,00000001001000000101000011001000,10000101101011000111000010101000
c25,31,00000000000000000000000010000000,01010010000000000000000000000010,01101000000110000010000000010001
c26,18,00000000000000001000000000000000,01110010101000001100101100000000,01110010100010001101101100000010
c26,18,00000000000000000000000000000100,00000011000000000000000010011000,10010011100001110000100111000010
c26,18,00000000000000000000000000000100,00000011000000000000000010011000,00010011000000000000000010010000
c26,18,00000000000000001000000000000000,01110010101000001100101100000000,01110010011010111001100101100000
c26,18,00000000000000000000000000000100,00000011000000000000000010011000,01001001000001110000100011110101
c26,18,00000000000000000000000000010000,01000011000001100010011100010010,01001111000101100001111100010010
c26,18,00000000000000000100000000000000,00010000000000010101100000001101,01010000000000010101100010000001
c26,18,00000000000000000000000000000100,00000011000000000000000010011000,00101011000100010000100011010000
c26,18,00000000000000100000000000000000,00110000000000100110000000010101,01110001000000100110000000011100
c26,18,00000000100000000000000000000000,00000010111000100000001000000001,10100001110110001100011010101001
c27,59,00000000000000000000000100000000,00010000000010000010000100010101,00011001111110100010000010110100
c27,59,00000000000010000000000000000000,00000001001100100001010001100001,10000011001110100001011001100001
c27,59,00000000000100000000000000000000,00000010000110001110000000100100,00100110000010101100010001100100
c27,59,00000000000000100000000000000000,01010000000000001000000001011001,01010001010100010000000101011000
c27,59,00001000000000000000000000000000,00101010000010100001000010110010,00100100000010110001011010110110
c27,59,00000000000010000000000000000000,00000001001100100001010001100001,00000001001100110001100001110000
c27,59,00000000000010000000000000000000,00000001001100100001010001100001,10000111111111100001010001111011
c27,59,00000000001000000000000000000000,01001011001000000010001000010011,11001011001100000010000000011110
c27,59,00000000000000000000000000100000,10000000010001100000010001100000,00100001010001101001110001010000
c27,59,00000000000000001000000000000000,00010100000010010000000100000010,11000101100110010000011100110011
c28,18,01000000000000000000000000000000,11101100000001000000000000001000,11101100000101010000101000000000
c28,18,00000000000000000010000000000000,01000111010000010010010000000001,01010011000100000110010010000001
c28,18,00000010000000000000000000000000,10000111000000000011000100000111,11010110110000000000000101100011
c28,18,00000000100000000000000000000000,00010010100000011000001000100010,00010010010000001000101100110010
c28,18,00000000000001000000000000000000,10100010100001101000000000000010,10011110100001100110000000001010
c28,18,00000010000000000000000000000000,10000111000000000011000100000111,10000110011000010010000001000001
c28,18,00000000000000010000000000000000,00000000000000110000000000000000,00100000000000110010100000101000
c28,18,00000000000000000010000000000000,01000111010000010010010000000001,11001111000000010000011001000000
c28,18,00000000000000000010000000000000,01000111010000010010010000000001,00000011000000010010000010000001
c28,18,00000000000000000000000100000000,10010100000000000100010100100000,10010110010000000100010110110100
c29,56,00000000000000000000000000100000,10010000010100010000001101110100,10111000110110010000000101111010
c29,56,00000000000000000000000000000010,01010111010010100100001000000000,01010111010000100011001000000000
c29,56,00000000000000000000000001000000,01001000000000110000101001001000,01011010000000110101101001011000
c29,56,00000000000000000000000000000010,01010111010010100100001000000000,01110110010010100100000000001110
c29,56,00000000000100000000000000000000,00000001000100000100000110000000,00010000010100000000000110100000
c29,56,00000000000100000000000000000000,00000001000100000100000110000000,00100000000011000110010110001110
c29,56,00000000000000000000010000000000,00000010000010000000110000000000,00001010100110000100110110000011
c29,56,10000000000000000000000000000000,11001001000000001001000100011011,11011001000100001001001000111011
c29,56,00000000000000000000001000000000,00000000100010000001001000100011,01000000100010000001001100100111
c29,56,00000000000100000000000000000000,00000001000100000100000110000000,00001001010001010100011110001000
c30,51,00000000000001000000000000000000,00000000000001011000110100000001,00100000100101100001110100010000
c30,51,00000000000001000000000000000000,00000000000001011000110100000001,00100011101001111000110101000001
c30,51,00000001000000000000000000000000,00110001100100010100110000010010,11110101111000011001011000010000
c30,51,00000000000000000000100000000000,00000100000100010000101000110101,00101110100001110001101001101001
c30,51,00000000000000000000000000010000,01001100110010010011011001000100,00001110110011110001011101000001
c30,51,00000000010000000000000000000000,00000110010000000101000000100010,01110100010001110001000100000010
c30,51,00000000000000000000000000000010,10000000101000000000010011001010,10000010100101000001100001010001
c30,51,00000000000000000000000010000000,11000100110100000000100010000001,01000100110001000000000010000001
c30,51,00000000000001000000000000000000,00000000000001011000110100000001,01011000010100011100011100110011
c30,51,00000000000000000000000000000010,10000000101000000000010011001010,10110000001000000000110101111001
c31,37,00000000000000000000000000000010,00000100000010010000100001010000,01100100100010110000100000010000
c31,37,00000000000000000000000100000000,00000001001111001001010100110100,00100101101010001011010100110100
c31,37,00100000000000000000000000000000,01110101100100000000101010000000,01110111100100000010110101000001
c31,37,00001000000000000000000000000000,00001100101010000000000000000110,10001100101010010010000010010010
c31,37,00000000000000000000100000000000,00101000100000001000100010010000,00011000100000001000100010110000
c31,37,00000000000000001000000000000000,00000010100100101000000000000000,10000110110111011110000110000110
c31,37,00000000000000000000000000001000,00100011100010110000000001011110,00101001100000100110001000001101
c31,37,00010000000000000000000000000000,01010000100011000100011000100001,01000100101001100000011110101101
c31,37,00000000000000000000000000100000,00011001001000000100010000100001,00101000000000110010010100010001
c31,37,00000000000000000010000000000000,01000011001000001110000001000000,01010101000000000100100111000001
c32,16,00000000000000000000000000000100,10100010001000010001001000001110,01010110001000000000001001001011
c32,16,00000000000000100000000000000000,00111001000011100110000100000101,10111000001010100100010110011101
c32,16,01000000000000000000000000000000,11010100001100001000010100000011,01011100001100001000110110000101
c32,16,00000000100000000000000000000000,01001010100011010000010100000100,01001110100111010100010110001000
c32,16,00000000000000000000010000000000,00001000100000000010000010010011,00011000110000000010000010010000
c32,16,00000000000000000000000010000000,10100000001010100100010110110110,10110110001010101100111110110110
c32,16,00000000100000000000000000000000,01001010100011010000010100000100,10001011101011010000011111001100
c32,16,00000000000000010000000000000000,01001011000000011011001001000101,01101011000000010011001001100011
c32,16,00001000000000000000000000000000,10001001101000000000001000100000,00011001010000000101011010110000
c32,16,00000000000000000000000000000100,10100010001000010001001000001110,11100000001000010111101000011110
c33,0,00000001000000000000000000000000,00001010101100000000000000100000,00001000101100010000001100100000
c33,0,00000000000000000000000000010000,00000010001000000101010000011000,00001001001001001101010010001100
c33,0,10000000000000000000000000000000,10000011000100000001101000100010,01000111101100000000100100100010
c33,0,00000000000000000000000000010000,00000010001000000101010000011000,00000011001000100110110000011000
c33,0,00000000000000100000000000000000,00010000011000000110010001100000,00011001011000110111011001100100
c33,0,00000000000000000000000010000000,00000000000100100001100110101000,10110000101000001101101010110101
c33,0,01000000000000000000000000000000,01000001010000000000000101000110,01000000110000100011100101100010
c33,0,00000000000000001000000000000000,10010100100000001000100000011110,10010101000000001000100000001110
c33,0,01000000000000000000000000000000,01000001010000000000000101000110,01110011010101101100000101001100
c33,0,10000000000000000000000000000000,10000011000100000001101000100010,11100011000101100001111000110010
c34,62,10000000000000000000000000000000,10100000000001000100000000000010,11100100000101000111000000010001
c34,62,00000000000000000000000000000010,11000010010100000101001000000010,00001010110000000101000011100011
c34,62,00000000000000000000000000001000,01100011100100000100011000100000,01100010110101000100011000000001
c34,62,00001000000000000000000000000000,00011100010001000000000000000001,00010100010000011000000010100001
c34,62,00001000000000000000000000000000,00011100010001000000000000000001,00111000000010001000000000010011
c34,62,00000000000100000000000000000000,01001001000000000001000011001000,01000011010001000000000010000000
c34,62,00000000000000000001000000000000,00000000000111001000000000001000,10000000000111010000100100101101
c34,62,00001000000000000000000000000000,00011100010001000000000000000001,10111000010011000010101001000000
c34,62,00001000000000000000000000000000,00011100010001000000000000000001,00001001011001001000000111000010
c34,62,00000000000000000000001000000000,00100000001011100100111010010100,01101001100010110000111110010100
