120,49,58,44,38,49,39,42,58,39,44,51,49,52,44,44,38,52,47,50,44,42,45,41,47,42,46,44,51,39,53,35,44
100,40,39,37,38,29,28,35,44,36,29,46,47,30,39,43,39,37,36,34,48,33,35,28,50,40,40,43,38,47,46,34,38
150,63,60,54,51,57,49,57,50,59,47,62,53,56,53,60,56,57,62,52,49,63,56,60,53,62,52,52,69,72,67,53,50
150,56,59,60,63,50,52,62,74,57,59,62,50,53,52,56,56,53,50,52,50,67,55,60,63,65,58,60,54,68,60,64,64
170,58,59,59,64,62,71,58,57,65,55,58,65,61,73,72,57,69,55,61,64,62,68,71,72,60,65,70,61,50,62,60,60
90,26,36,48,36,38,35,33,26,27,43,39,29,34,28,38,29,31,41,35,31,27,33,30,39,38,32,32,30,32,37,35,25
110,41,45,32,46,39,36,46,44,40,50,40,36,36,37,51,55,46,43,47,37,44,41,43,40,37,47,39,41,41,41,38,44
170,68,69,60,73,66,55,77,74,65,66,73,71,73,62,56,61,67,64,61,63,68,68,64,66,61,65,63,74,78,64,74,66
130,52,51,48,44,42,49,44,54,54,55,54,49,45,58,54,46,46,50,48,46,40,41,48,46,41,44,48,46,46,53,52,55
200,76,59,69,90,82,71,67,78,75,75,77,71,87,84,72,66,63,66,55,74,74,77,76,86,77,91,59,80,74,82,94,74
200,65,80,69,84,64,77,88,67,65,75,80,73,70,79,73,78,83,70,80,73,75,71,76,74,84,83,79,76,70,85,75,82
190,75,82,68,78,79,79,84,92,69,78,70,76,75,67,75,79,61,78,73,80,84,64,68,73,79,66,69,85,71,66,73,66
230,79,101,88,97,84,98,85,88,84,96,81,83,76,91,99,85,89,86,87,90,88,82,91,96,95,89,94,86,97,84,98,87
130,58,54,52,52,49,37,51,55,48,55,47,51,43,54,43,51,49,51,52,46,58,44,54,44,55,48,54,57,50,57,50,56
180,75,75,72,67,66,60,66,69,58,67,70,72,74,73,70,67,72,78,64,72,67,75,72,77,74,68,74,75,82,71,75,78
150,60,56,58,65,47,54,46,69,64,49,61,62,43,59,59,50,58,68,67,59,53,50,68,61,60,56,58,42,52,58,48,52
250,90,94,96,80,84,85,94,93,90,95,98,99,88,87,92,110,97,104,85,83,97,102,98,97,95,99,90,97,93,77,76,93
130,41,50,44,47,50,53,49,40,51,51,51,48,49,49,54,31,44,59,50,50,55,58,45,46,40,50,48,50,42,51,54,64
160,64,55,63,64,60,58,64,63,63,62,61,69,59,55,67,59,60,59,69,65,71,58,61,56,58,68,62,66,61,70,59,60
160,72,60,68,61,57,61,60,60,64,68,57,65,59,77,54,57,63,60,63,61,61,69,68,78,67,61,63,56,57,69,57,55
130,49,50,49,40,45,47,50,44,54,61,53,48,52,44,47,61,45,59,54,48,55,43,44,52,58,55,65,53,43,47,45,43
210,84,84,79,74,89,68,82,72,91,78,81,70,86,80,82,80,85,71,81,79,60,91,81,84,87,88,78,74,76,69,77,84
80,39,31,31,37,32,29,27,33,28,35,23,32,29,26,27,30,23,27,38,33,37,36,34,31,35,36,28,33,20,33,29,31
140,46,48,59,55,54,67,36,53,58,55,47,57,60,66,48,48,59,66,58,61,60,45,59,49,53,59,57,56,59,49,55,59
140,55,43,70,46,64,51,50,53,60,40,47,54,59,46,53,49,58,51,51,50,47,49,61,54,46,46,53,58,60,58,47,40
90,38,42,38,27,39,30,30,34,29,37,35,33,34,35,36,33,29,35,38,32,39,33,31,35,40,39,31,32,33,32,31,29
170,63,72,68,72,60,67,61,58,57,59,59,67,67,76,71,66,59,74,78,70,69,55,59,67,62,74,68,65,64,64,68,78
190,85,72,70,87,66,70,77,59,72,71,77,76,63,66,69,70,68,77,72,66,76,95,66,87,74,66,75,71,60,77,70,80
110,43,44,36,49,41,38,42,43,49,37,38,42,45,52,41,45,36,40,48,45,39,46,52,48,47,36,53,36,40,35,45,41
150,51,57,65,58,62,52,73,58,53,56,53,45,64,52,71,41,56,58,61,59,61,48,57,49,58,55,60,66,53,64,62,56
200,70,81,87,96,71,79,89,71,73,79,86,63,69,65,83,73,80,68,70,73,70,72,84,83,82,67,63,88,72,68,74,84
140,65,59,52,49,63,59,49,60,51,45,53,57,50,52,53,42,61,57,55,63,47,55,54,51,60,46,51,48,56,47,64,46
150,60,49,44,50,62,55,62,67,62,55,51,59,60,59,56,53,54,51,50,68,54,63,52,66,50,58,47,54,57,58,48,54
170,62,78,52,66,67,60,61,60,81,59,69,71,53,67,64,61,68,47,65,59,70,71,67,65,51,65,78,76,71,55,62,67
150,65,58,53,55,50,64,58,50,60,65,64,52,68,56,56,53,50,48,53,61,48,59,58,43,55,62,52,56,59,62,56,57
140,62,58,59,54,56,55,51,60,58,55,55,56,54,51,46,50,46,61,49,56,53,52,55,43,42,57,52,54,62,55,61,59
200,81,76,78,68,80,78,65,80,84,81,79,83,82,77,75,81,66,74,71,79,73,81,82,80,87,82,70,97,82,72,76,81
210,80,83,84,89,94,70,87,71,85,83,82,74,72,71,69,83,89,75,74,83,92,85,76,81,77,77,89,88,84,85,75,83
130,42,44,55,45,48,51,53,58,46,45,51,48,53,53,43,58,42,61,54,42,51,52,47,55,48,50,55,55,55,54,57,46
140,49,43,56,48,68,50,51,54,58,57,53,53,50,61,43,67,39,61,60,62,43,74,56,62,53,52,62,54,50,63,52,50
120,51,54,47,45,36,40,48,57,41,48,44,41,39,48,50,44,46,51,47,39,45,41,43,42,46,54,46,55,56,45,52,48
130,62,54,65,43,54,54,51,49,42,57,33,57,59,50,57,54,60,48,50,47,49,53,51,42,57,54,52,60,54,49,37,50
